id,gold,pred,latency_ms,expert_id
310,2050,200,42463.9,2
311,91,91,32317.0,2
312,32,5,41489.2,2
313,120000,1200000,33063.0,2
314,30,1,42564.4,2
315,14,14,41826.6,2
316,156,56,42409.5,2
317,12,.1,8264.6,2
318,123,123,21404.9,2
319,15,15,22757.1,2
320,8,8,29669.4,2
321,1,6,41468.3,2
322,9,5,24727.5,2
323,75,103,42459.3,2
324,14,70,14259.3,2
325,224000,224000,32609.8,2
326,14,14,32466.6,2
327,31,14,45444.8,2
328,2,2,29069.2,2
329,14,70,41966.1,2
330,31,31,32147.7,2
331,8400,8400,36118.9,2
332,44,44,16020.4,2
333,100,100,24460.5,2
334,6,0,42497.9,2
335,310,310,20120.6,2
336,72,72,37008.8,2
337,1,3,24664.4,2
338,60,60,31917.1,2
339,160,160,30549.0,2
340,4,1,27844.8,2
341,260,300,42594.7,2
342,87,87,24393.9,2
343,180000,180000,23019.5,2
344,2,2,15408.2,2
345,310,310,21558.3,2
346,9,9,24109.6,2
347,36,20,41522.1,2
348,10,10,41622.4,2
349,2640,1440,26593.1,2
350,8,8,42926.1,2
351,10,10,22587.4,2
352,21,21,42053.0,2
353,20,12,26834.3,2
354,45,45,38584.2,2
355,34,34,27002.0,2
356,21,21,33159.7,2
357,2,12,34342.6,2
358,20,20,24267.3,2
359,4,2,42498.3,2
360,25,,42234.7,2
361,20,4,32898.5,2
362,23,23,30848.5,2
363,6,7,42246.0,2
364,49,49,23767.2,2
365,18,18,17029.1,2
366,9,9,16542.3,2
367,19,19,36579.0,2
368,18,,42823.1,2
369,1198,10,44213.5,2
370,320,11,42615.8,2
371,50,100,40296.2,2
372,5,0,42563.9,2
373,240000,240000,38673.0,2
374,45,20,44472.9,2
375,48,48,21150.6,2
376,15,15,18334.2,2
377,50,50,23350.9,2
378,15,70000,43216.1,2
379,21,21,15281.5,2
380,803,81.25,43502.0,2
381,67,5,5864.6,2
382,350,15,20728.9,2
383,2,18,19369.0,2
384,32,32,31702.1,2
385,16,16,25365.6,2
386,80,100,41264.8,2
387,36,30,27611.6,2
388,88,88,13578.6,2
389,6,9,7932.5,2
390,12,12,27099.6,2
391,15,32,42363.5,2
392,34,36,41483.7,2
393,20,,42443.9,2
394,92,864,37251.0,2
395,38,17,7198.8,2
396,3,,44309.8,2
397,25,300,9214.2,2
398,168,168,21722.1,2
399,12,12,35580.5,2
400,48,20,42699.0,2
401,14400,50,43413.2,2
402,4,5,42472.5,2
403,81,135,33826.5,2
404,22,22,24210.9,2
405,50,56,43360.1,2
406,200,160,26289.4,2
407,2000,4000,40125.7,2
408,20,20,23892.3,2
409,168000,4,42559.5,2
410,3,3,40865.9,2
411,1110,9,41822.5,2
412,5,5,18804.8,2
413,25,120,41639.4,2
414,56,56,12097.9,2
415,350,405,44796.5,2
416,56,56,42715.3,2
417,3140,3140,31082.6,2
418,40,40,34871.0,2
419,3000,,42384.3,2
420,17000,17000,26933.2,2
421,12,12,22890.1,2
422,284,392,32582.6,2
423,8,6,35243.0,2
424,570,570,23242.9,2
425,150,150,28683.7,2
426,11,11,23873.0,2
427,150,50,43197.5,2
428,26,26,31564.7,2
429,13,13,31916.0,2
430,132,132,24100.0,2
431,1,1,25232.7,2
432,30,30,29793.7,2
433,6,2,42242.9,2
434,5,4,39278.6,2
435,5,5,25576.1,2
436,15,450,41382.5,2
437,7,7,21197.2,2
438,2,2,27954.7,2
439,17,4,23454.1,2
440,98,98,26800.3,2
441,80,80,31017.9,2
442,49,49,26082.9,2
443,59,10,46734.2,2
444,20,20,26409.2,2
445,6,6,29171.5,2
446,2,2,20001.5,2
447,5,5,30330.3,2
448,539,539,37033.8,2
449,112,112,35214.9,2
450,4,4,31874.1,2
451,11050,11050,33592.0,2
452,50,6,41417.2,2
453,6400,6400,41316.0,2
454,150,30,7663.3,2
455,1920,1920,25306.2,2
456,78,0,42572.2,2
457,45,30,26390.5,2
458,35,35,22935.6,2
459,2,3,43602.1,2
460,84,84,36522.3,2
461,9,9,19535.3,2
462,71,4,43090.9,2
463,18,18,14219.8,2
464,6,6,32259.6,2
465,30,30,39873.2,2
466,1,1,26257.1,2
467,1200,1200,42924.5,2
468,120,180,11103.9,2
469,4,4,17045.6,2
470,3,11,39638.3,2
471,80,80,24684.1,2
472,6,6,31167.3,2
473,10,0,42167.5,2
474,80,80,29181.6,2
475,20,3,42294.7,2
476,5,12,41785.0,2
477,20,,43382.4,2
478,621,621,27633.7,2
479,15400,15400,37458.5,2
480,11,11,16857.2,2
481,84,84,16357.3,2
482,26,26,18371.2,2
483,40,0,42470.8,2
484,240,240,17406.0,2
485,220,240,44117.3,2
486,6,10,47436.3,2
487,4,4,26818.8,2
488,6,6,15902.1,2
489,-10,-10,27486.0,2
490,4,4,21646.0,2
491,16,4,41814.7,2
492,32,32,13366.5,2
493,25,50,24065.9,2
494,21,53,44229.7,2
495,200,200,17141.8,2
496,38,0,43222.8,2
497,112,224,24970.7,2
498,40,40,17698.1,2
499,10,10,30299.1,2
500,16,16,44701.5,2
501,273,273,26083.9,2
502,26,26,21426.4,2
503,18,18,21770.7,2
504,2,1,33516.8,2
505,600,6,42821.6,2
506,144,50,41792.6,2
507,2,2,32333.0,2
508,120,120,26993.0,2
509,4,4,18133.5,2
510,525,499,36235.5,2
511,110,10,41542.4,2
512,120,1200,17253.6,2
513,300,300,29637.1,2
514,90000,10,42392.1,2
515,160,288,17671.4,2
516,375,4,41418.8,2
517,18,-16,42830.7,2
518,32,32,27697.0,2
519,280,70000,42492.2,2
520,63,63,39579.9,2
521,39,39,23122.7,2
522,29,29,21812.7,2
523,74,74,23058.8,2
524,9,4,48134.6,2
525,12,12,33817.9,2
526,21,,28672.2,2
527,48,540,17884.6,2
528,172,162,42992.1,2
529,11,60,42434.1,2
530,36,35,20229.2,2
531,66,122,20425.6,2
532,25,35,25858.8,2
533,300,300,21359.9,2
534,300,84,38784.8,2
535,16,12,13716.9,2
536,8,5,41545.3,2
537,188,188,42953.1,2
538,18,150,43309.5,2
539,35,5,42298.1,2
540,39,39,30614.1,2
541,50,750,41479.5,2
542,7,7.00,25776.9,2
543,6,100,41516.5,2
544,80,6500,42496.8,2
545,30,5,9742.4,2
546,130,26,42609.0,2
547,81,,42648.5,2
548,100,3,42421.7,2
549,398,398,27997.4,2
550,27,18,32499.6,2
551,17,17,32758.5,2
552,450,900,25158.4,2
553,92,2,9028.7,2
554,54,54,38212.9,2
555,2,5,51960.3,2
556,160,160,33286.3,2
557,70,70,19506.2,2
558,3,3,14722.0,2
559,16,,29636.7,2
560,45,45,28319.8,2
561,180,3,28654.8,2
562,82,82,19271.1,2
563,12,4,42879.5,2
564,240,24,47034.0,2
565,5,5,15672.2,2
566,10,10,36987.4,2
567,9,9,42637.2,2
568,175,175,27468.9,2
569,21,168,34131.2,2
570,23,25,44108.8,2
571,308,308,25417.1,2
572,100,100,23300.5,2
573,600,2,33971.5,2
574,37,7,43570.2,2
575,36,36,29021.2,2
576,11232,6,48218.3,2
577,40,64,38337.6,2
578,48,100,42715.9,2
579,7,120000,43010.8,2
580,500,540.8,44574.8,2
581,215,6,41432.5,2
582,129200,154000,42557.7,2
583,120,136,27826.4,2
584,2,1.11,47445.9,2
585,40,40,30915.7,2
586,800,1,43950.2,2
587,30,30,43180.4,2
588,52,52,34168.5,2
589,15,2.5,42762.5,2
590,319,710,34376.1,2
591,220,220,27560.9,2
592,1,1,19152.0,2
593,3,4,18838.7,2
594,42,42,26974.4,2
595,13,13,29346.0,2
596,260,260,24022.0,2
597,90,90,31012.4,2
598,69,2,45171.5,2
599,48,48,26727.4,2
600,10,2,42360.9,2
601,104,104,29490.7,2
602,5,5.555555555555555,33936.6,2
603,1800,1260,41691.6,2
604,12,12,36012.4,2
605,42,42,32347.1,2
606,6,24,32394.3,2
607,10,20,16073.2,2
608,8,8.00,42864.9,2
609,7,7,31053.5,2
610,960,65760,26706.3,2
611,0,0,45763.1,2
612,30,30,29054.5,2
613,93000,90000,42769.3,2
614,312,.15,42575.9,2
615,33,33,33943.6,2
616,10,10,28171.8,2
617,5,5,23319.4,2
618,36,36,29191.4,2
619,76,76,18616.3,2
620,1509,135,28512.3,2
621,3000,60,43364.5,2
622,7,7,42452.2,2
623,8,8,17765.0,2
624,85,85,30912.0,2
625,160,160,18958.8,2
626,72,72,38505.9,2
627,54,54,27306.9,2
628,4,4,38158.8,2
629,17500,157500,38060.4,2
630,10,10,22890.9,2
631,4800,4800,43259.1,2
632,45,45,21570.3,2
633,5,5,28667.4,2
634,14,14,18161.3,2
635,4,10,22273.4,2
636,1050,1050,43338.8,2
637,17,17,20956.0,2
638,12,14.85,43421.4,2
639,216,2160,32081.6,2
640,500,13500,42588.2,2
641,262500,372000,36607.5,2
642,800,10800,28965.8,2
643,840,840,27831.0,2
644,29,29,25738.0,2
645,48,92,43448.9,2
646,79,79,32270.6,2
647,10,10,33292.5,2
648,54,54,34200.2,2
649,162000,160000,21339.7,2
650,142,142,27079.0,2
651,2100,2100,37291.1,2
652,75,105,22902.1,2
653,80,80,42380.5,2
654,2,2,22600.3,2
655,10,5,42424.3,2
656,10,10,21714.7,2
657,330000,330000,33242.4,2
658,120,120,30358.7,2
659,3,3,29658.5,2
660,15,15,43033.0,2
661,44,44,29185.8,2
662,7,8,23774.4,2
663,193,193,19423.6,2
664,32,540,32624.5,2
665,360,360,29336.0,2
666,120,120,28321.8,2
667,53,53,23789.7,2
668,3,10,42602.7,2
669,132,132,35741.7,2
670,4,60,42999.9,2
671,4,4,26243.1,2
672,2,,24464.7,2
673,9,2,42804.4,2
674,12,240,42586.8,2
675,33,25,32400.3,2
676,240,240,29940.1,2
677,36,36,20606.4,2
678,120,3,42248.0,2
679,576,50,42408.4,2
680,20,20,21438.2,2
681,298,298,39091.4,2
682,80,80,39659.5,2
683,50,50,28901.0,2
684,11,11,15707.0,2
685,14,4,43557.1,2
686,80,80,31287.5,2
687,13,3,42455.8,2
688,100,100,22673.9,2
689,7,14,32594.7,2
690,5760,5760,34905.5,2
691,25,25,30248.2,2
692,32,32,38721.4,2
693,68,68,33573.6,2
694,9,9,22830.8,2
695,5,5,15405.5,2
696,145,165,42330.6,2
697,27,60,43441.8,2
698,720,960,24333.6,2
699,8,1.5,42906.9,2
700,135,135,26241.8,2
701,200,200,32592.0,2
702,2800,2800,26576.3,2
703,50,50,45948.4,2
704,50,50,25778.7,2
705,120,120,29162.7,2
706,9,60,45511.3,2
707,8,80,42942.0,2
708,168,3,42864.3,2
709,3000,3,42768.5,2
710,45,45,30529.9,2
711,6,6.00,43526.8,2
712,14,14,30322.0,2
713,576,576,38775.4,2
714,10,10,37640.7,2
715,385000,385000,17623.3,2
716,770,770,29536.5,2
717,5,5,20752.5,2
718,2,2,19444.7,2
719,175,60,42534.2,2
720,4,7,36784.9,2
721,2450,2450,42905.6,2
722,255,145,11759.1,2
723,160,160,24454.6,2
724,18,18,35098.0,2
725,25,25,25249.4,2
726,10,10,35765.9,2
727,112,112,22248.7,2
728,40,60,42729.3,2
729,1000,1000,25090.1,2
730,8,8,20965.9,2
731,1,3,42841.5,2
732,87,87,40859.7,2
733,5,540,42489.8,2
734,17,24,22015.5,2
735,50,50,25609.6,2
736,3,10,27769.5,2
737,2,6,26771.0,2
738,4,4,18356.1,2
739,98,110,28370.2,2
740,25,25,29722.5,2
741,28,28,28226.2,2
742,24,24,22991.8,2
743,8,8,20710.0,2
744,4,4,16439.2,2
745,1100,180,42626.4,2
746,28,28,31922.0,2
747,350,7,10154.6,2
748,336,700,42851.8,2
749,3,6,25950.2,2
750,4000,4000,28305.7,2
751,43,43,29135.4,2
752,240,4,44555.5,2
753,128,128,26737.9,2
754,89,27,42786.0,2
755,7,60,43231.9,2
756,22,22,28808.3,2
757,75,75,34303.3,2
758,133,6,42412.6,2
759,60000,60000,15632.7,2
760,16,16,23867.2,2
761,27,60,42901.3,2
762,85,85,26223.5,2
763,100,100,35469.6,2
764,14,14,44938.1,2
765,490,490,18192.0,2
766,12,3,42668.9,2
767,60,60,15007.8,2
768,675,1500,39388.4,2
769,110,370,33803.5,2
770,4,3,23068.2,2
771,3,3,24408.5,2
772,50,50,31797.7,2
773,10,10,24016.9,2
774,10,3,42581.7,2
775,276,276,24967.3,2
776,800,,42412.0,2
777,4400,4,42634.7,2
778,38,38,25004.6,2
779,255,330,27178.4,2
780,25,25,44588.5,2
781,17,100,41375.6,2
782,54,13,23184.9,2
783,4,2,47377.0,2
784,15,3,45394.9,2
785,155,155,32695.5,2
786,142,142,25047.6,2
787,25,25,24356.0,2
788,100,300,43659.6,2
789,4,4,26201.1,2
790,108,12,29928.6,2
791,100,9,29244.1,2
792,75,75,32990.6,2
793,250,20,49709.4,2
794,32,32,21617.7,2
795,20,20,21861.1,2
796,2880000,3120000,30824.9,2
797,540,540,37436.4,2
798,20,3.00,42695.6,2
799,4,4,17691.7,2
800,428,525,45536.2,2
801,1240,1840,22976.6,2
802,6,1,44943.9,2
803,9,9,23819.8,2
804,20,1,48763.7,2
805,1170,7,47662.5,2
806,70,46,41541.1,2
807,4,4,39508.1,2
808,12,12,29269.4,2
809,50,100,8089.5,2
810,310,310,38323.3,2
811,60,60,25950.1,2
812,79,97,45568.3,2
813,7,16,22127.6,2
814,11,42,29102.9,2
815,4,9,43118.1,2
816,4500,70,42709.7,2
817,15,16800,36319.1,2
818,16,16,27406.1,2
819,250,6250,23796.0,2
820,720,720,30149.4,2
821,35,35,20655.5,2
822,1260,4,43739.6,2
823,14,18,27041.2,2
824,52,6,41595.3,2
825,153,153,39569.6,2
826,27,3,42655.1,2
827,11,21,36583.8,2
828,60,5,42507.6,2
829,0,14000,27431.4,2
830,1128,18.8,45093.9,2
831,324,549,23655.0,2
832,42,42,19391.3,2
833,40,40,30689.2,2
834,80,80,29867.6,2
835,48,10,42899.3,2
836,140,140,24836.4,2
837,120,220,31151.1,2
838,15,15,33830.8,2
839,2,5,26907.4,2
840,16,16,33271.5,2
841,5600,5600,20429.7,2
842,10,10,15750.2,2
843,19,19,22826.3,2
844,180,210,30133.0,2
845,12,12,21337.6,2
846,11,6,29086.4,2
847,975,10228.88,43003.2,2
848,10,10,20746.0,2
849,75,2.5,19141.9,2
850,70,70,19115.1,2
851,110,6,42501.5,2
852,123,123,40517.4,2
853,15,15,22929.3,2
854,144,144,19888.8,2
855,13,11,43167.6,2
856,7,7,26551.3,2
857,14000,14000,27576.1,2
858,3430,3,30096.1,2
859,1520,1520,30002.7,2
860,3,3,20822.8,2
861,30,6,32307.1,2
862,40,300,32427.3,2
863,110,30,6639.8,2
864,80,80,41170.9,2
865,23,23,26522.3,2
866,28,16,42971.5,2
867,7,7,20097.8,2
868,15,15,25388.9,2
869,500,6,42492.7,2
870,40,40,30469.6,2
871,48,48,28563.6,2
872,13,13,35790.8,2
873,12,12.00,18010.2,2
874,132,130,42714.6,2
875,60,3,42604.3,2
876,41,41,32132.9,2
877,7000,7000,25779.1,2
878,5,5,30913.5,2
879,575,575,41300.4,2
880,10,,42683.5,2
881,16,4,49507.1,2
882,5,5,28391.5,2
883,25,23,27787.0,2
884,50,40,41550.2,2
885,500,500,18183.8,2
886,20,20,14795.6,2
887,34,34,21833.9,2
888,10,10,14855.5,2
889,15,15,23051.4,2
890,25,25,34495.3,2
891,55,55,25557.2,2
892,1,1,18813.9,2
893,480,480,25564.8,2
894,26,,42502.0,2
895,74,3,42090.1,2
896,250,500,36745.7,2
897,1,3,43273.0,2
898,110,120,42362.7,2
899,16,16,17845.9,2
900,15,15,19412.8,2
901,1,1,42454.2,2
902,8,8,42474.6,2
903,16,8,34555.8,2
904,8,70000,42652.9,2
905,5,5,24462.7,2
906,10,10,24898.5,2
907,16,3,43488.9,2
908,14,14,17749.4,2
909,38,8,35025.0,2
910,700,100,8412.6,2
911,64,64,17584.1,2
912,6,0,42583.3,2
913,6,6,28846.2,2
914,3,3,11439.4,2
915,23,3,47796.1,2
916,14,15.5,30434.1,2
917,12,60,42557.1,2
918,56,,44180.6,2
919,90,90,30359.5,2
920,47,47,26789.5,2
921,4,8,42536.2,2
922,60,540,42532.8,2
923,2,2,35426.8,2
924,12,12,23574.7,2
925,2000,2000,27902.7,2
926,1,2,42915.3,2
927,85000,10,42180.4,2
928,60,60,43638.1,2
929,60,60,21281.3,2
930,14,14,36374.1,2
931,50,5,43233.7,2
932,24,8,43927.9,2
933,15,15,26037.5,2
934,410,410,36868.0,2
935,64800,9000,37598.8,2
936,250,12,42526.2,2
937,159,159,24082.2,2
938,4,68,36836.1,2
939,650,650,18194.1,2
940,280,280,21506.2,2
941,842,842,40404.3,2
942,205,3,42942.8,2
943,50,100,34296.7,2
944,34,46.25,44319.6,2
945,17,1,42686.5,2
946,450,450,22483.3,2
947,13,13,11704.5,2
948,15,1.20,42742.4,2
949,42,6,42040.5,2
950,5,15,43557.0,2
951,300,150,12190.1,2
952,360,1800,22283.0,2
953,452,457,43090.4,2
954,34,34,25462.5,2
955,100,100,28280.1,2
956,1,1,30424.0,2
957,45,,42542.9,2
958,40,40,30168.5,2
959,7,7,37881.7,2
960,11,28,38382.9,2
961,225,225,22063.8,2
962,1000,42000,43078.5,2
963,147,147,41382.3,2
964,200,200,18182.1,2
965,374,2,42475.7,2
966,48,57,26475.1,2
967,30,30,26513.4,2
968,227,227,33380.4,2
969,1800,55,30029.5,2
970,33,,42720.5,2
971,100,3,42820.0,2
972,120,120,27454.0,2
973,79,,42705.8,2
974,5,5,17144.6,2
975,20,40,25764.7,2
976,540,465,37524.5,2
977,4,4,22762.5,2
978,160,160,20675.4,2
979,50,48,32029.3,2
980,90,90,32281.0,2
981,7,7,21384.6,2
982,12,12,22794.0,2
983,15,,44899.7,2
984,342,162,43910.3,2
985,63,600,51390.2,2
986,70,70,29921.0,2
987,3,3,32896.7,2
988,6,12,9516.9,2
989,45,45,27241.5,2
990,14,14,35604.8,2
991,15,15,25835.5,2
992,52,52,26458.8,2
993,11,5.5,41069.2,2
994,2,2,31893.0,2
995,12,0,44535.9,2
996,3,3,40915.9,2
997,600,6600,26573.5,2
998,50,50,25543.1,2
999,25,40,34449.7,2
1000,1,1,35941.8,2
1001,2,,26313.6,2
1002,8,8,30412.7,2
1003,480,1215,42701.8,2
1004,8,8,24943.0,2
1005,1490,1490,28616.4,2
1006,826,5,43058.2,2
1007,34,34,16366.6,2
1008,230,3,42607.8,2
1009,875,1875,37750.1,2
1010,5,5,36288.2,2
1011,6000,6000,43271.3,2
1012,94,.28,45161.0,2
1013,2,2,37738.1,2
1014,3,3,42551.1,2
1015,78,78,31375.2,2
1016,138,139,31318.7,2
1017,45,45,28120.5,2
1018,60,8,42256.5,2
1019,98,98,32968.1,2
1020,22,3,45224.2,2
1021,36,36,27057.7,2
1022,12,12,42091.5,2
1023,77,77,32911.1,2
1024,300,2,8168.8,2
1025,30,30,22458.0,2
1026,43200,43200,39457.0,2
1027,12,12,25285.9,2
1028,200,240,19184.9,2
1029,34,42,32082.5,2
1030,24,.6,42561.3,2
1031,5,5,40850.0,2
1032,450,450,26501.6,2
1033,2,2,30974.9,2
1034,66,10,47820.4,2
1035,35,35,25131.0,2
1036,10,750,42176.1,2
1037,10,10,38566.1,2
1038,4,2.67,45635.6,2
1039,160,240,31329.9,2
1040,736,425,43179.0,2
1041,101,101,21364.2,2
1042,3,7,31387.0,2
1043,130000,130000,29597.9,2
1044,1,1,38738.4,2
1045,420,42,43463.5,2
1046,189,3,42969.3,2
1047,10,10,42874.2,2
1048,7400,,46289.7,2
1049,20,20,25474.7,2
1050,655,1630,11105.7,2
1051,15,15,19073.3,2
